Level,Parent Cluster ID,Cluster ID,Examples,Label,Top Service Types
Sub-cluster,8,3,102,Waaban Crossing Project,Waaban Crossing (Third Crossing) (102)
Sub-cluster,8,4,962,Zoning Permit Inquiry,"Zoning - building permit (132), Zoning (129), Deck permit (118)"
Sub-cluster,8,5,315,Construction Project Concerns,"Construction project timeline (100), Construction safety concern (59), Construction equipment blocking access (33)"
Sub-cluster,8,6,225,Land Development Planning,"Land use planning projects and studies (102), Personal property development or planning inquiry (67), Development applications - process and approvals (23)"
Sub-cluster,8,7,447,Permit Regulation Inquiry,"Encroachment permit (85), Vehicle size or weight regulations (62), Outdoor patio permits (49)"
Sub-cluster,8,8,64,Engineering Service Feedback,"Service feedback - Engineering, infrastructure and construction (58), Service praise - Engineering, infrastructure and construction (5), Service complaint - Engineering, infrastructure and construction (1)"
Sub-cluster,8,9,112,Plumbing Permit Services,"Plumbing permit (110), Plumbing services (2)"
Sub-cluster,9,0,160,Catch Basin Issue,Catch basin (160)
Sub-cluster,9,1,21,Pothole Repair Request,Pothole (21)
Sub-cluster,9,2,301,Road Drainage Issue,Road flooding or drainage issue (301)
Sub-cluster,9,3,91,Culvert Maintenance,Culvert (91)
Sub-cluster,9,4,51,Stormwater Management,Stormwater (51)
Sub-cluster,9,5,71,Sinkhole Repair,Sink hole (71)
Sub-cluster,9,6,67,Ditch Maintenance,Ditch issue (67)
Sub-cluster,9,7,0,EMPTY,
Sub-cluster,9,8,155,Culvert Maintenance,Culvert (155)
Sub-cluster,9,9,1545,Pothole Repair,Pothole (1545)
Sub-cluster,10,0,0,EMPTY,
Sub-cluster,10,1,73,Missed Waste Collection,No collection (73)
Sub-cluster,10,2,0,EMPTY,
Sub-cluster,10,3,4995,Missed Waste Collection,No collection (4995)
Sub-cluster,10,4,3,Missed Waste Collection,No collection (3)
Sub-cluster,10,5,0,EMPTY,
Sub-cluster,10,6,0,EMPTY,
Sub-cluster,10,7,0,EMPTY,
Sub-cluster,10,8,0,EMPTY,
Sub-cluster,10,9,0,EMPTY,
Sub-cluster,11,0,1573,Transit Schedule Inquiry,Transit schedule time (1573)
Sub-cluster,11,1,419,Bus Timing Issues,"Bus late (277), Bus early (120), Transfer problem (22)"
Sub-cluster,11,2,160,School Transit Services,"Field trip / school (135), School transit orientation / training (22), Partnerships (2)"
Sub-cluster,11,3,527,Transit Route Planning,"Transit route planning (525), Charter (2)"
Sub-cluster,11,4,331,Transit Trip Planner,"Website trip planner (326), Mobile trip planner (5)"
Sub-cluster,11,5,0,EMPTY,
Sub-cluster,11,6,210,Transit Service Improvements,"Frequency and transit schedule (58), New transit route (50), Kingston Access Bus (35)"
Sub-cluster,11,7,170,Bus Did Not Arrive,"Bus did not arrive (166), Internal bus announcement not functioning (4)"
Sub-cluster,11,8,40,Transit Detour Info,Transit detour information (40)
Sub-cluster,11,9,31,Bus Temperature Control,Inside bus temperature (31)
Sub-cluster,12,0,70,Group Arena Booking,"Adult user group arena booking (47), School group arena booking (23)"
Sub-cluster,12,1,515,One-Time Arena Booking,One time arena booking (515)
Sub-cluster,12,2,9,Tournament Facility Booking,"Tournament sportsfield booking (5), Tournament arena booking (4)"
Sub-cluster,12,3,110,Partner Arena Booking,Partner group arena booking (110)
Sub-cluster,12,4,0,EMPTY,
Sub-cluster,12,5,13,No-Ice Floor Booking,Floor booking - no ice (13)
Sub-cluster,12,6,14,One-Time Arena Booking,One time arena booking (14)
Sub-cluster,12,7,555,General Arena Booking,Arena booking (555)
Sub-cluster,12,8,0,EMPTY,
Sub-cluster,12,9,0,EMPTY,
Sub-cluster,13,0,65,Transit Stop Inquiry,Transit stop question (65)
Sub-cluster,13,1,0,EMPTY,
Sub-cluster,13,2,222,Transit Stop Maintenance,Damage / maintenance at transit stop (222)
Sub-cluster,13,3,0,EMPTY,
Sub-cluster,13,4,0,EMPTY,
Sub-cluster,13,5,47,Bus Maintenance Request,Damage / maintenance to bus (47)
Sub-cluster,13,6,36,Transit Stop Amenities,"Shelter or bench at transit stop (28), Blocked access to transit stop (8)"
Sub-cluster,13,7,0,EMPTY,
Sub-cluster,13,8,14,Transit Stop Graffiti,Graffiti removal at transit stop (14)
Sub-cluster,13,9,29,New Transit Stop,New transit stop (29)
Sub-cluster,14,0,75,Sidewalk Walkway Inquiry,Sidewalk and walkway inquiry (new or change) (75)
Sub-cluster,14,1,235,Traffic Signal Inquiry,Traffic signal inquiry (235)
Sub-cluster,14,2,459,Traffic Calming Request,"Traffic calming (458), Quiet Streets (1)"
Sub-cluster,14,3,237,Pedestrian Safety Concern,Pedestrian safety concern or crossing inquiry (237)
Sub-cluster,14,4,190,Roads Traffic Feedback,"Other roads, traffic and sidewalks complaint (84), Other roads, traffic and sidewalks feedback (74), Construction site traffic issues (25)"
Sub-cluster,14,5,393,Transportation Inquiry,"Traffic or transportation inquiry (317), Bicycle lane or pathway inquiry (47), Turtle concern (20)"
Sub-cluster,14,6,58,Streetlight Maintenance,Streetlights (58)
Sub-cluster,14,7,77,School Area Safety,School area safety (77)
Sub-cluster,14,8,29,Red Light Camera,Red light camera program inquiry (29)
Sub-cluster,14,9,41,Roads Traffic Praise,"Other roads, traffic and sidewalks praise (41)"
Sub-cluster,15,0,917,Refund Cancellation Request,Refunds or cancellations (917)
Sub-cluster,15,1,0,EMPTY,
Sub-cluster,15,2,156,Account Management,Account management (156)
Sub-cluster,15,3,0,EMPTY,
Sub-cluster,15,4,528,Membership Inquiry,Memberships (528)
Sub-cluster,15,5,0,EMPTY,
Sub-cluster,15,6,2,Account Management,Account management (2)
Sub-cluster,15,7,0,EMPTY,
Sub-cluster,15,8,0,EMPTY,
Sub-cluster,15,9,8,Membership Inquiry,Memberships (8)
Sub-cluster,16,0,348,New Sign Installation,New sign installment (348)
Sub-cluster,16,1,892,Sign Repair Replacement,Sign repair and replacement / change (892)
Sub-cluster,16,2,363,Sidewalk Pathway Repair,General repairs - sidewalk / walkway / pathway (363)
Sub-cluster,16,3,0,EMPTY,
Sub-cluster,16,4,47,Street Naming Address,Civic addresses / street naming (47)
Sub-cluster,16,5,30,Road & Bike Repair,"Emergency road repairs (24), Bicycle rack repairs (6)"
Sub-cluster,16,6,76,Permanent Signage,Signs - permanent (76)
Sub-cluster,16,7,56,Sign Graffiti Removal,"Graffiti removal from road sign (51), Sign removal (5)"
Sub-cluster,16,8,0,EMPTY,
Sub-cluster,16,9,7,Road Sign Issues,"Missing road sign (6), External destination sign not functioning (1)"
Sub-cluster,17,0,395,Municipal Notices,Other municipality notices (395)
Sub-cluster,17,1,92,Council Meeting Info,"City Council meetings (27), Archived information - Council / committees (26), Meeting correspondence (19)"
Sub-cluster,17,2,147,Civic Administration,"Municipal business licenses (44), Municipal election inquiry (39), Civic Awards (24)"
Sub-cluster,17,3,59,Municipal Events,"Municipal events (55), Non-municipal external event (4)"
Sub-cluster,17,4,61,Committee Applications,Committee and board application / recruitment inquiry (61)
Sub-cluster,17,5,62,Accessibility Services,"Non-municipal accessibility (53), Municipal accessibility (7), Municipal Accessibility Advisory Committee (1)"
Sub-cluster,17,6,67,Flag & Lights,"Illuminations (57), Flag raisings (10)"
Sub-cluster,17,7,8,Salon Services,Salons and esthetician services (8)
Sub-cluster,17,8,26,City Proclamations,Proclamations (26)
Sub-cluster,17,9,46,Freedom of Information,Freedom of Information (46)
Sub-cluster,18,0,444,Road Snow Plowing,Road snow plowing (444)
Sub-cluster,18,1,239,Winter Ops Complaint,Winter operations complaint (239)
Sub-cluster,18,2,72,Road Salt & Sand,"Road sanding / salt (68), Sand / salt pick up (4)"
Sub-cluster,18,3,268,Road Snow Removal,Road snow removal (268)
Sub-cluster,18,4,81,Snow Angels Program,"Snow Angels submission (79), Snow Angels inquiry (2)"
Sub-cluster,18,5,38,Transit Stop Snow,Snow removal or sanding at transit stop (38)
Sub-cluster,18,6,500,Sidewalk Snow Plowing,Sidewalk snow plowing (500)
Sub-cluster,18,7,58,Winter Ops Praise,Winter operations praise (58)
Sub-cluster,18,8,209,Sidewalk Salt & Sand,Sidewalk sanding / salt (209)
Sub-cluster,18,9,55,Winter Ops Feedback,Winter operations feedback (55)
Sub-cluster,19,0,1246,Roadside Illegal Dumping,Roadside illegal dumping pick up (1246)
Sub-cluster,19,1,318,Park Illegal Dumping,Illegal dumping in park pick up (318)
Sub-cluster,19,2,3,Storm Sewer Discharge,Discharge to storm sewer (3)
Sub-cluster,19,3,0,EMPTY,
Sub-cluster,19,4,0,EMPTY,
Sub-cluster,19,5,0,EMPTY,
Sub-cluster,19,6,0,EMPTY,
Sub-cluster,19,7,0,EMPTY,
Sub-cluster,19,8,0,EMPTY,
Sub-cluster,19,9,53,Roadside Illegal Dumping,Roadside illegal dumping pick up (53)
Sub-cluster,20,0,0,EMPTY,
Sub-cluster,20,1,497,Registered Swim Programs,Registered swim (497)
Sub-cluster,20,2,285,Program Registration Inquiry,Registration inquiries (285)
Sub-cluster,20,3,180,Drop-in Swim Programs,Drop-in swim (180)
Sub-cluster,20,4,107,Program Registration,Program registration / PLAY (107)
Sub-cluster,20,5,75,Fitness Programs & Gym,"Registered fitness class (38), Fitness centre (16), Open gym drop in / registration (15)"
Sub-cluster,20,6,67,Recreational Sports,"Other recreational sports drop in / registration (17), Skating (12), Pickleball inquiry (11)"
Sub-cluster,20,7,110,Swimming Lessons,"Swimming lessons (96), Aquatics and swimming (12), Swimming programs (2)"
Sub-cluster,20,8,39,Drop-in Fitness Class,Drop-in fitness class (39)
Sub-cluster,20,9,27,Recreation Camps,"Registered camp (26), Drop-in camp (1)"
Sub-cluster,21,0,578,Leaf Collection Schedule,Leaf collection schedule (578)
Sub-cluster,21,1,142,Special Waste Programs,"Medical exemption program (46), Apartment garbage program (30), Commercial garbage program (22)"
Sub-cluster,21,2,1124,Special Item Disposal,"Large item disposal (960), Scrap metal disposal (81), Battery disposal (34)"
Sub-cluster,21,3,845,Waste Bin Instructions,Bin placement and disposal instructions (845)
Sub-cluster,21,4,1066,Yard Waste & Composting,"Yard waste disposal (751), Debris left behind (174), Backyard composter (96)"
Sub-cluster,21,5,562,Park Waste Management,"Debris / litter in park (209), Parks garbage / recycling collection (115), Return park garbage / recycling bin (66)"
Sub-cluster,21,6,350,Waste Bag Limits,Bag limits (350)
Sub-cluster,21,7,919,Waste Service Feedback,"Recycling complaint (223), Service feedback - Garbage, recycling and organics (223), Garbage complaint (218)"
Sub-cluster,21,8,588,Waste Collection Schedule,"Brush collection schedule (313), Online waste collection calendar (195), App / collection reminder inquiry (45)"
Sub-cluster,21,9,359,Waste Bag Tags,Bag tags (359)
Sub-cluster,22,0,41,Urban Tree Care,"Tree watering (14), Wood (9), Market Square Christmas Tree (7)"
Sub-cluster,22,1,47,Tree Bylaw & Permits,"Tree bylaw (38), Tree permit (5), Trees bylaw (3)"
Sub-cluster,22,2,177,City Tree Replacement,Replacement tree on City property (177)
Sub-cluster,22,3,97,Tree Service Feedback,"Service complaint - Trees (42), Service feedback - Trees (34), Service praise - Trees (21)"
Sub-cluster,22,4,35,Emerald Ash Borer,Emerald ash borer (EAB) (35)
Sub-cluster,22,5,24,Mulch Wood Chips,Mulch or wood chips (24)
Sub-cluster,22,6,253,Tree Planting Request,"New tree on City property (244), Tree planting on private property (9)"
Sub-cluster,22,7,1142,Tree Assessment Request,Tree assessment (1142)
Sub-cluster,22,8,88,Hazardous Tree Issue,"Emergency tree issues (57), Sight line issue - branch or tree (28), Hazard or damaged tree (3)"
Sub-cluster,22,9,23,Tree Pest Concern,Wasp / insect / item concern in tree (23)
Sub-cluster,23,0,0,EMPTY,
Sub-cluster,23,1,2100,Missed Waste Collection,No collection - garbage / green bin - bag + bin (2100)
Sub-cluster,23,2,40,Missed Waste Collection,No collection - garbage / green bin - bag + bin (40)
Sub-cluster,23,3,0,EMPTY,
Sub-cluster,23,4,0,EMPTY,
Sub-cluster,23,5,0,EMPTY,
Sub-cluster,23,6,0,EMPTY,
Sub-cluster,23,7,0,EMPTY,
Sub-cluster,23,8,0,EMPTY,
Sub-cluster,23,9,0,EMPTY,
Sub-cluster,24,0,41,Environmental Spill Report,Environmental spills (41)
Sub-cluster,24,1,780,Parking Lot Issues,"Parking lot and garage information (567), Parking lot malfunctioning gate (64), Parking lot snow removal (26)"
Sub-cluster,24,2,446,Park Maintenance Issues,"Trails and pathways (180), Grass cutting in park (175), Noxious weeds in park (63)"
Sub-cluster,24,3,560,Parks Parking Feedback,"Service feedback - Parks (109), Service complaint - Parks (96), Service complaint - Parking Operations (80)"
Sub-cluster,24,4,990,Park Amenity Issues,"Washrooms in park (132), Signage in park (90), Lighting in park (89)"
Sub-cluster,24,5,338,Sports Facility Issues,"Tennis court (93), Outdoor rink (77), Indoor rink (45)"
Sub-cluster,24,6,235,Park Bench Request,"Memorial bench (185), Park bench (50)"
Sub-cluster,24,7,98,Playground Equipment Issue,Playground equipment (98)
Sub-cluster,24,8,93,HONK Mobile Parking,HONK mobile (93)
Sub-cluster,24,9,175,Parking Rates Inquiry,"Hourly on-street parking payment rates (87), Parking lot payment rates (78), Bicycle parking or rack inquiry (10)"
